Net_Metrekare,Brüt_Metrekare,Oda_Sayısı,Bulunduğu_Kat,Eşya_Durumu,Binanın_Yaşı,Isıtma_Tipi,Fiyat,Şehir,Binanın_Kat_Sayısı,Kullanım_Durumu,Yatırıma_Uygunluk,Takas,Tapu_Durumu,Banyo_Sayısı
85,95.0,3,1.0,0,25.0,6,1549000.0,0,4,0,1,0,0,1.0
125,165.0,4,4.0,0,0.0,7,2700000.0,0,13,0,0,0,0,2.0
90,110.0,3,1.0,0,7.5,6,1950000.0,0,10,0,1,0,0,2.0
100,115.0,3,2.0,0,25.0,7,1999500.0,0,9,0,1,0,0,1.0
160,190.0,5,6.0,0,4.0,7,5249000.0,0,13,0,1,0,0,2.0
180,200.0,6,15.0,0,3.0,7,5998000.0,0,3,0,1,0,0,3.0
150,185.0,5,4.0,0,3.0,7,3295000.0,0,14,0,1,0,0,2.0
80,90.0,3,6.0,0,0.0,3,1300000.0,0,10,0,1,1,0,1.0
130,175.0,4,7.0,0,4.0,7,2200000.0,0,9,0,1,0,0,2.0
125,155.0,4,6.0,0,0.0,7,1650000.0,0,13,0,1,1,0,2.0
40,45.0,2,13.0,0,1.0,6,1000000.0,0,14,0,1,0,0,1.0
160,180.0,4,3.0,0,18.0,7,2990000.0,0,7,0,1,1,0,2.0
175,180.0,4,8.0,0,13.0,6,2950000.0,0,10,1,1,0,0,2.0
135,150.0,4,0.5,0,13.0,7,1850000.0,0,10,0,1,0,0,1.0
40,45.0,2,0.0,0,0.0,3,850000.0,0,15,0,0,0,0,1.0
135,150.0,4,6.0,0,18.0,7,1900000.0,0,7,0,1,0,0,1.0
127,175.0,5,7.0,0,13.0,7,1575000.0,0,8,0,0,0,0,2.0
80,100.0,3,14.0,0,3.0,6,1090000.0,0,14,0,1,0,0,1.0
100,110.0,4,11.0,0,4.0,7,2350000.0,0,12,0,0,0,0,2.0
90,110.0,3,10.0,0,7.5,7,2849000.0,0,14,0,0,0,0,1.0
75,105.0,3,0.5,0,4.0,7,1270000.0,0,12,0,1,0,0,2.0
90,100.0,3,2.0,0,25.0,6,1325000.0,0,2,0,0,1,0,1.0
180,250.0,5,1.0,0,13.0,7,14700000.0,0,14,0,1,1,0,2.0
165,203.0,4,10.0,0,13.0,7,3300000.0,0,10,0,1,0,0,2.0
50,60.0,2,10.0,0,0.0,6,1050000.0,0,12,0,1,0,0,1.0
90,110.0,3,2.0,0,7.5,7,1920000.0,0,3,0,0,0,0,1.0
55,60.0,2,2.0,1,0.0,7,1150000.0,0,12,0,1,1,0,1.0
115,140.0,4,2.0,0,18.0,3,2100000.0,0,10,0,1,1,0,1.0
175,200.0,5,8.0,0,7.5,7,5149000.0,0,11,0,1,0,0,2.0
55,65.0,3,5.0,0,0.0,7,1199000.0,0,15,0,1,1,0,1.0
110,120.0,3,9.0,0,7.5,7,2400000.0,0,10,0,1,0,0,2.0
50,60.0,2,3.0,1,3.0,6,1250000.0,0,8,1,1,0,0,1.0
180,200.0,5,6.0,0,7.5,7,3250000.0,0,9,0,1,0,0,2.0
148,165.0,4,9.0,0,7.5,7,3475000.0,0,15,0,1,0,0,2.0
170,185.0,4,1.0,0,18.0,7,2600000.0,0,7,0,1,0,0,1.0
165,180.0,4,7.0,0,4.0,7,4500000.0,0,13,0,1,0,0,2.0
145,175.0,4,2.0,0,25.0,6,2499000.0,0,6,0,1,1,0,1.0
150,160.0,4,7.0,0,18.0,7,2500000.0,0,9,0,1,0,0,1.0
130,160.0,4,10.0,0,7.5,7,2950000.0,0,3,0,1,0,0,2.0
80,100.0,3,0.0,0,0.0,7,1275000.0,0,10,0,0,1,0,1.0
150,190.0,5,5.0,0,4.0,7,2150000.0,0,10,0,0,1,0,2.0
155,190.0,4,8.0,0,18.0,7,3499000.0,0,11,0,1,1,0,2.0
75,80.0,3,2.0,0,7.5,9,2000000.0,0,3,0,1,0,0,1.0
160,180.0,5,6.0,0,4.0,7,5250000.0,0,13,0,1,0,0,2.0
142,180.0,4,7.0,0,25.0,3,2400000.0,0,10,0,1,0,0,1.0
130,180.0,4,1.0,0,18.0,7,2450000.0,0,12,0,1,0,0,1.0
200,250.0,5,5.0,0,18.0,7,5750000.0,0,8,0,0,0,0,2.0
60,90.0,2,10.0,0,0.0,7,939000.0,0,10,0,1,0,0,1.0
55,80.0,2,0.0,0,13.0,6,1050000.0,0,11,0,1,0,0,1.0
175,200.0,4,7.0,0,25.0,7,4000000.0,0,12,1,1,0,0,1.0
120,135.0,4,2.0,0,4.0,7,2399000.0,0,12,0,1,0,0,2.0
140,150.0,4,2.0,0,7.5,6,1990000.0,0,10,0,1,0,0,1.0
75,90.0,3,5.0,0,0.0,7,980000.0,0,9,0,0,1,0,1.0
106,135.0,3,4.0,0,4.0,7,2400000.0,0,10,0,1,1,0,1.0
54,74.0,2,6.0,0,0.0,8,1580000.0,0,12,0,0,0,0,1.0
120,130.0,4,8.0,0,18.0,3,1550000.0,0,8,0,0,0,0,1.0
90,120.0,3,10.0,0,2.0,3,990000.0,0,3,0,0,0,0,2.0
110,130.0,3,9.0,0,4.0,2,1985000.0,0,15,0,0,0,0,1.0
85,110.0,3,3.0,0,3.0,6,1360000.0,0,5,1,0,0,0,2.0
90,100.0,3,9.0,0,7.5,7,2150000.0,0,12,0,1,0,0,2.0
75,90.0,3,3.0,0,7.5,7,2150000.0,0,12,0,1,0,0,1.0
130,160.0,4,1.0,0,2.0,6,1850000.0,0,8,1,1,0,0,2.0
140,180.0,4,9.0,0,0.0,7,3500000.0,0,12,0,0,0,0,2.0
145,175.0,4,13.0,0,7.5,7,2600000.0,0,15,1,0,0,1,2.0
100,110.0,4,3.0,0,18.0,7,1600000.0,0,11,0,0,0,1,1.0
140,175.0,4,6.0,0,7.5,9,5300000.0,0,11,0,1,0,1,2.0
80,110.0,3,2.0,0,0.0,6,1645000.0,0,3,1,0,0,0,1.0
85,100.0,3,0.5,0,0.0,7,1425000.0,0,8,0,0,0,0,2.0
170,190.0,5,9.0,0,7.5,7,4500000.0,0,15,0,1,1,0,2.0
120,150.0,4,6.0,0,4.0,7,2699000.0,0,10,0,1,0,0,2.0
135,155.0,4,0.5,0,18.0,7,1780000.0,0,8,0,1,0,0,1.0
100,115.0,3,0.5,0,25.0,6,1749000.0,0,7,0,1,0,0,1.0
110,130.0,4,2.0,0,1.0,7,1550000.0,0,6,0,1,1,0,2.0
85,110.0,3,0.0,0,0.0,6,1150000.0,0,5,0,1,0,0,2.0
80,98.0,3,0.5,0,3.0,7,1200000.0,0,8,1,1,0,0,2.0
